ticker,as_of,float_M,os_M,under_20M,confidence,basis,note
NTHI,2025-05-08,7.38,18.75,true,high,424B4 direct-listing prospectus (cover O/S + ownership table),"NeOnc Technologies. Direct listing 2025-03-26; no DEF14A yet. O/S=18,745,685 (42"
NUKK,2025-05-20,3.35,5.03,true,med,10-KT 2025-05-08 cover + PRE14A,"O/S 5,026,363 common (10-KT cover as of 2025-05-01, post 8:1 reverse split & dilution; listed common, Class B 9.25M is separate non-listed class); excluded D&O group ex-warrants ~1.01M (Shalom 0.5M + dirs + Kotaieva/X Group 0.47M) + Emil Assentato founder/ex-chairman 0.671M = 1.68M; East Asia/Nukk Notes <20% kept; float ~3.35M <20M; no DT anchor."
NVAX,2025-05-08,160.56,161.96,false,high,10-Q cover (2025-05-08) + DEF14A ownership,"Novavax. Current O/S=161,957,868 (10-Q). D&O group 1,396,755 (1%) excluded; 5% h"
NVTS,2025-05-27,133.70,191.81,false,high,10-Q 2025-05-09 + DEF14A,"O/S 191.81M Class A common (10-Q cover; single class, Class B=0); excluded D&O group ex-options 58.10M (captures control affiliates Singh/SiCPower 24.9M, Atlantic Bridge/Long, Capricorn-Libra/Saluja, Live Oak/Hendrix); proxy 396d stale but float ~134M >>20M so insensitive; new 0M ATM (424B5 2025-05-27) not yet issued; DT 172.54/233.71 is post-as_of dilution."
NXTT,2025-05-12,109.0,436.27,false,high,"DEF14A + 10-Q cover (2025-05-09), Record Date","Next Technology Holding. O/S=436,265,135 (both DEF14A and 10-Q, days before as_o"
OCG,2025-05-07,17.16,19.07,true,med,F-3 2024-12-05 O/S + 6-K 2025-05-02 + 20-F table,"O/S ~19.07M ordinary = 18,569,340 (F-3 as of 2024-12-04, post 14M-share offering dilution) + 0.5M stock award 2025-04-28; trades ordinary directly NOT ADS; excluded small insider set ~1.91M = D&O group 0.434M + CEO/employee grants ~0.5M + 2 BVI affiliate SPVs Kong+Gao 0.98M; selling-shareholder offering shares are public float; float ~17.2M <20M; DT 1.94/1.94 reflects a POST-as_of reverse split (~1:10), point-in-time O/S ~10x larger."
OM,2025-05-08,17.38,17.72,true,high,10-Q 2025-05-07 cover + DEF14A 2025-04-11,"Current O/S 17,722,310 common (10-Q cover, May 2 2025, post reverse-split & preferred conversion); excluded D&O group ex-options 342,100; kept all 5% holders (FMR/Durable/Alyeska/PFM/T.Rowe/Woodline/Perceptive) as passive 13G institutions."
ORIC,2025-05-28,65.96,71.08,false,high,10-Q cover (2025-05-05) + DEF14A ownership,"ORIC Pharmaceuticals. Current O/S=71,078,511 (10-Q & DEF14A). D&O group 5,115,72"
OSCR,2025-05-07,197.94,218.99,false,high,DEF14A 2025-04-25 cover (Class A),"Listed class is Class A; Class A O/S 218,993,334 (record date ~Apr 10 2025); excluded D&O-as-a-group Class A 21,050,331 (incl Thrive/Kushner 10.5M Class A); kept Vanguard/BlackRock/Dragoneer/Deerfield/T.Rowe as passive; Class B 35.5M is a separate unlisted class; float well above 20M."
OUST,2025-05-09,51.67,53.79,false,high,10-Q 2025-05-09 cover + DEF14A 2025-04-28,"Current O/S 53,794,970 common (10-Q cover May 2 2025, post 1-for-10 reverse split); excluded D&O-group ex-options 2,120,553 (founders Pacala/Frichtl inside group); kept Vanguard 3.48M & BlackRock 3.07M passive 13G; float well above 20M."
PBM,2025-05-05,0.50,0.58,true,med,6-K 2025-05-06 press rel + 13D/A 2025-05-12,"1-for-7.97 reverse split effective at market open May 5 2025; post-split O/S ~583,263 (pre-split 4,648,610); parent Psyence Group Inc. ~85,160 post-split (selling out May 2-9) excluded; D&O hold 0; serial split (also Nov-2024 75-for-1 prior)."
PGY,2025-05-08,42.06,63.06,false,high,10-Q 2025-05-07 cover (Class A) + DEF14A 2025-04-30,"Listed class Class A Ordinary (Israeli, trades directly not ADS); Class A O/S 63,055,282 (Apr 30 2025); excluded D&O-group Class A 2,275,545 + board-affiliated VC Viola Ventures 8,175,776 + Oak HC/FT 10,540,877; kept BlackRock 3.21M & GIC 3.66M passive; Class B 12.65M separate unlisted class; float well above 20M."
PPIH,2025-05-02,7.52,7.98,true,high,"10-K balance sheet (FY end Jan 31 2025, in thousands) + DEF14A ownership","Perma-Pipe International Holdings. Current common O/S~7,983,000 (10-K 2025-05-01"
PRCH,2025-05-07,78.1,101.85,false,high,DEF 14A cover (2025-04-17),"O/S=101,846,978 voting common as of 3/31/25 (excludes 18.3M non-voting Reciproca"
PRE,2025-05-21,9.60,11.45,true,med,20-F 2025-04-30 (Item 7),"Listed class A Ordinary (trades directly; 20-F says ADS Not Applicable - ADS flag false positive, NO division); Class A O/S ~11,453,009 (Apr 24 2025, post 1-for-15 reverse split); total ordinary 12.98M incl 1.58M Class B founder super-voting; excluded D&O-group Class A 889,780 + principal holder Lo Yuk Ming Dennis 962,963; kept Prudential HK passive; float <20M (DT os 16.87M is later snapshot)."
PULM,2025-05-27,3.52,3.65,true,high,10-Q cover (2025-05-15),"Pulmatrix. Current 10-Q O/S=3,652,285 (424B3 shelf 2025-05-09 not yet drawn; 10-"
QBTS,2025-05-08,282.8,291.35,false,high,10-Q cover (2025-05-08),"D-Wave Quantum. Current 10-Q O/S=291,351,403 common. Excl D&O group 8.58M (3.2%,"
QMCO,2025-05-19,6.66,6.95,true,med,424B3 2025-04-29 cover + DEF14A 2025-03-27 + 13D/A 2025-04-17,"Current O/S 6,949,763 (424B3, Mar 18 2025, post 1-for-20 reverse split Aug 2024); excluded D&O-group 294,326; PIMCO/Blue Torch (was 14.7%, 13D control lender) SOLD ALL shares Apr 15 2025 -> 0%, NOT excluded; kept Long Focus 458,041 & ADK Soho 382,718 passive; no 10-Q in window; DT os 25.26M is later (2026) snapshot after heavy ATM dilution."
QUBT,2025-05-16,113.2,140.9,false,high,10-Q cover (2025-05-15),"Quantum Computing Inc. Current 10-Q O/S=140,903,536. Excl D&O group 27.74M (19.3"
QVCGB,2025-05-06,0.77,9.11,true,high,DEF14A 2025-03-28,"QVCGB Series B supervoting class: record-date O/S 9,114,716; exclude Maffei (Chairman) 8,345,664 = 89.4% of series (D&O group QVCGB 8.346M, all Maffei); reverse split proposed in proxy but NOT yet effected as_of."
RAIN,2025-05-12,3.09,7.53,true,med,10-K 2025-04-15 + 424B3 2025-04-25,"RAIN=Class A of de-SPAC Rain Enhancement; Class A O/S 7,528,761 (post-PIPE, per 424B3); excluded RWT founders You(1.45M real)+Dacier(1.86M)+de Masi(0.092M real, all ex-options)+Coliseum Sponsor(1.02M)+Dickerson(0.018M)=4.44M; kept passive Meteora/Stevenson/ColoredRings."
RDIB,2025-05-15,0.47,1.68,true,med,10-K/A 2025-04-30 (as of 2025-03-28),"RDIB=Reading Intl CLASS B VOTING (the ticker's class), O/S 1,680,590; exclude Cotter family control 1,208,988 (71.9%, dedup of Margaret/Ellen/Estate/Living-Trust overlap); KEEP Mark Cuban 172,355 (activist, no board seat) + GAMCO 119,530 (passive 13G). DT os 22.72/float 18.81 is the Class A (RDI) non-voting basis - DT mismapped RDIB."
RDW,2025-05-27,24.0,63.85,false,medium,10-Q cover (2025-05-12) common O/S; DEFM14A ownership (2025-05-09),"Redwire. Current common O/S=63,852,690 (DEFM14A cover 77.08M reflects a record-d"
RENT,2025-05-12,3.30,3.83,true,med,10-K cover 2025-04-11 + DEF14A 2024-05-23,"RENT=Rent the Runway Class A; current O/S 3,825,951 (10-K cover Apr-11-2025, post 1-for-20 reverse split); exclude D&O group ex-RSU 121,222 + Bain Capital Ventures 408,820 (Scott Friend board seat); KEEP Goldstone/Highland/TCV/T.Rowe (no board seats). DT os 33.59M is pre-split/later-diluted basis."
RGTI,2025-05-14,288.8,290.32,false,high,10-Q cover (2025-05-12),"Rigetti Computing. Current 10-Q O/S=290,322,889. Excl D&O group 5.66M (1.9%, alm"
RUM,2025-05-09,113.4,338.63,false,med,DEF14A 2025-04-25 + 10-Q 2025-05-08,"RUM=Rumble Class A; as-converted economic O/S 338.63M (Class A 214.8M + ExchangeCo/Class-C 123.69M per 10-Q); excluded D&O group as-converted ex-options 121.88M (Pavlovski et al, incl ExchangeCo) + Tether strategic 103.33M (30.5%, non-passive >20% PIPE investor); Class D/C non-economic voting not counted. Float >>20M. DT keeps Tether -> float 211.5M; I exclude per >20% non-passive rule."
VCIG,2025-05-02,1.25,2.73,true,med,"6-K 2025-04-03 (1:20 split, ~2.8M O/S) + 20-F/A 2024-10-11 (ownership)","VCI Global (Malaysia), trades ordinary directly (ADS flag false positive); 1-for-20 reverse split eff Apr 3 2025 cut O/S ~54.5M->~2.8M; current O/S ~2.73M (no issuance Apr 3-May 2); excluded D&O group 29.46M pre-split /20 = 1.47M (Victor Hoo Chairman/CEO control incl V Invesco + spouse Karen Liew Exec Director + officers); DT 5.544/2.85 reflects later post-May dilution (~2x)."
VENU,2025-05-27,27.49,37.50,false,high,10-Q 2025-05-15 + 10-K 2025-03-31 (ownership),"Venu Holding (US/Colorado); current voting Common O/S 37,503,341 (10-Q; 5:1 forward split already baked in); excluded D&O group ex-options/warrants 10.01M (group 14.96M beneficial minus 3.70M warrants minus 1.25M Roth option; JW Roth Chairman 34% is the only >5% holder, in D&O); 379,990 non-voting Class B excluded from traded class; DT 63.85/52.42 reflects later post-May dilution."
VERB,2025-05-13,1.11,1.11,true,high,10-Q 2025-05-13 cover + DEF14A 2024-08-16,"Current O/S 1,113,143 per 10-Q filed 2025-05-13 (post serial reverse splits); 2024 proxy D&O group 806,920 = 0.55% of then-145.6M O/S, all insiders <1%, no control or >20% holder; nearly all O/S is float."
VIGL,2025-05-22,37.75,46.672,false,high,DEF 14A table + 10-K/10-Q cover,"Vigil Neuroscience. O/S 46,671,534 common. D&O group 8,919,818 (incl Chairman Br"
VMAR,2025-05-06,10.34,10.40,true,med,6-K mgmt circular 2025-04-04 (record date 2025-03-27) + 20-F 2024-12-20,"Current O/S 10,400,665 common per AGM circular record date 2025-03-27 (post Feb-2025 offerings, pre a later reverse split that DT's 1.56M reflects); VMAR trades common shares directly (ADS flag false positive, no division); excluded D&O group ~62K (2.2% in Dec-24 20-F), kept KPAC Holdings 180K (6.3% passive); no control person."
WAI,2025-05-05,,180.21,false,med,6-K 2025-04-24 + 20-F 2025-04-17,"Class A O/S 180,211,267 per 6-K 2025-04-24 (25-for-1 consolidation APPROVED 2025-04-24 but effective date at board discretion, NO effective-date 6-K <= as_of so still PRE-consolidation); ticker=Class A traded class; excluded D&O group 576K Class A incl founder Ruilin Xu's BVI shell, Class B (3.79M) is separate non-traded class; float ~179.6M >> 20M; DT 2.36M reflects later effected consolidation."
WBUY,2025-05-09,0.61,0.61,true,high,6-K 2025-05-08 + 20-F 2025-04-22,"Class A O/S 607,023 per 6-K filed 2025-05-08 (post serial 1-for-40 then 1-for-3 reverse splits); ticker=Class A traded class; founder Bin Xue and all D&O hold ONLY Class B (via GBUY Global / WeBuy Talent Cayman shells), zero Class A held by insiders so entire Class A is float; DT 5.48M reflects later 2025 dilution."
WEST,2025-05-09,40.6,94.622,false,high,10-Q cover (common O/S) + DEF 14A table,"Westrock Coffee. Common O/S 94,622,000 (10-Q 2025-05-08; separate 23.5M Series A"
WFF,2025-05-20,7.99,25.19,true,med,13G 2025-05-19 (O/S as of 2025-05-15) + 20-F 2025-04-30,"Current O/S 25,190,000 ordinary per 13G filed 2025-05-19 (as of 2025-05-15); single-class, no ADS; excluded control block 17,203,320 = Lew Capital 15,853,320 (brothers Chee Hoong/Chee Seong Lew) + LYC Capital 1,350,000 (CEO's mother Yew Chean Lim, family affiliate) = D&O group; brother's 15.85M is same Lew Capital, no double-count; DT 5.04M likely reflects a later reverse split."
WGRX,2025-05-08,43.3,71.861,false,high,424B3/S-1 cover (current O/S) + 10-K table; multidoc,"Wellgistics Health. Current O/S 71,860,505 common (424B3 2025-05-07 & S-1 2025-0"
WKSP,2025-05-15,4.95,5.20,true,med,10-Q 2025-05-15 cover + DEF14A 2024-10-23 (scaled for 1-for-10 split),"Current O/S 5,200,130 common per 10-Q cover as of 2025-05-15 (post 1-for-10 reverse split eff 2025-03-18); excluded D&O group ex-options ~254,879 (pre-split 2,548,789 / 10), CEO Steven Rossi controls via 100 Series A Pref (51% vote) plus ~249K common; kept Armistice Capital 492,232 (9.99%, passive 13G); DT 16.79M reflects later 2025 dilution."
WOLF,2025-05-02,125.3,126.409,false,high,10-Q cover (current O/S) + DEF 14A table,"Wolfspeed (large-cap semi). Current common O/S ~126,409,000 (10-Q 2025-01-30, re"
XAGE,2025-05-21,0.84,1.00,true,med,10-Q/424B3 (O/S as of 2025-05-12) + DEF14A 2025-02-10 (scaled 1-for-30),"Current O/S 1,003,995 common per 10-Q cover as of 2025-05-12 (post 1-for-30 reverse split eff 2025-05-12; 268,840-share May-19 424B3 already in count); excluded D&O group ex-options 4,858,705 pre-split / 30 = 161,957 (incl Chairman Shukla 12% and dir Upton/Harbor Light 5%); 5% holders None; DT 2.48M reflects later 20/20 Biolabs merger dilution."
YSXT,2025-05-22,1.44,22.26,true,med,424B4 2024-12-18 + IPO-closing 6-K 2024-12-20,"Fresh dual-class China IPO (closed 2024-12-19); ticker=Class A. Class A O/S 22,260,175 (20,822,675 pre-IPO + 1,437,500 IPO incl full 187,500 greenshoe). IPO archetype: float = public offering 1,437,500 Class A. Pre-IPO Class A (20.82M, only 20 holders of record, all foreign BVI SPVs: Jeffre Xiao XJ 11.85M/founder, ZWQ 0.57M, XGR 0.88M + ~7.53M other pre-IPO holders) excluded as locked-up affiliates; 13G 'Jeffre Xiao XJ Holding' 54.88% is founder SPV not passive. DT float 13.42M diverges (counts unnamed pre-IPO holders/later issuance)."
ZCAR,2025-05-05,3.67,3.67,true,med,S-1 filed 2025-05-06 stating O/S as of 2025-04-30; DEF14A 2025-01-21 D&O table (scaled),"Current O/S 3,673,235 as of 2025-04-30 (per next-day S-1, ratifies post 1-for-100 + 1-for-20 serial reverse splits and PIPE Third-Closing issuances); excluded D&O-group 105,234 pre-split /20 = ~5K post-split (negligible); Bailey resigned so kept; float approx equals O/S."
ZKIN,2025-05-09,4.21,5.16,true,med,"20-F 2025-01-27 (O/S 36,147,625 ord) + 6-K 2025-01-31 (1-for-7 reverse split); ownership table scaled /7","Ordinary-share Cayman name (ADS flag false positive, trades ordinary 1:1). Current O/S = 36,147,625/7 = 5.16M post 1-for-7 reverse split effective 2025-01-31; excluded D&O group/Golden Hill control vehicle 6,694,875 ord /7 = 0.956M; kept CF Opportunity Fund 8.73% (passive). DT 57.31M is June snapshot after post-as_of offerings."
FULC,2025-05-02,50.2,53.98,false,high,DEF 14A cover / 10-Q,"Fulcrum Therapeutics, NORMAL biotech. O/S 53,979,306 (DEF 14A 2025-04-30 & 10-Q 2025-05-01 agree). All 5% holders (RA Capital 19.0%, BlackRock 10.3%, TCG, Nantahala, Suvretta, Vanguard, Adage) are passive 13G - kept. Excl only D&O group 3,781,825 (7.0%, ex-options)."
GDEV,2025-05-05,2.11,18.13,true,med,20-F 2025-03-31 Item7 major shareholders,"ADS=1:1 ordinary (no division); O/S 18.13M ordinary (post 1-for-10 reverse split, matches DT); excluded Everix 7.44M + Fadeev 3.98M + Gertsovskiy 2.73M + Kismet sponsor 1.79M + residual D&O 0.09M (all director-designation control); Igor Bukhman 50% of Everix not double-counted."
GOGO,2025-05-09,65.1,130.92,false,high,10-Q cover / DEF 14A,"Gogo Inc, NORMAL single-class. Current O/S 130,918,997 (10-Q 2025-05-09; proxy 132.25M). Excl D&O group 34,090,895 (25.78%, incl Chairman Oakleigh Thorne 28.89M) and GTCR PE sponsor 31,739,011 (24%, 13D filer w/ board nominees). Kept FMR 10.2% and BlackRock 7.8% (passive 13G)."
GOOS,2025-05-21,43.21,45.83,false,high,20-F 2025-05-21 Item7 (as of 5/5/25),"Multi-class: GOOS=Subordinate Voting Shares only; SVS O/S 45.83M; not a true ADS (Canadian, trades SVS directly); excluded Dani Reiss SVS 1.76M + other D&O SVS ~0.86M (Bain & MVS class held control, 0 SVS); kept passive FMR/MorganStanley/MFS/PCM/Ameriprise."
GPUS,2025-05-07,1.70,1.71,true,high,DEF14A 2025-05-02 record-date Class A O/S,"GPUS=Class A common; current Class A O/S 1.706M (DEF14A record date ~4/28/25); Ault 95.68% is VOTING power via Class B/preferred/warrants NOT Class A ownership; insiders hold only ~8.75K actual Class A; DT os=485M is post-2025 massive ATM dilution (lookahead), not point-in-time."
GRPN,2025-05-08,28.7,39.82,false,high,10-Q cover / DEF 14A,"Groupon, NORMAL single-class. Current O/S 39,816,140 (10-Q 2025-05-07). Excl D&O group ex-options 11,101,256 actual common, which already includes Pale Fire Capital 10,181,070 (25.59%, CEO Senkypl + dir Barta share it - counted once, not double). Kept passive 5% holders Windward, Continental General, Linmar; kept ex-chairman Lefkofsky 9.92% (off board since 2023, <10%, no control). Excl-Lefkofsky alt float 24.8M - both >20M."
GYRE,2025-05-27,11.4,89.86,true,medium,10-Q + 424B5 current O/S / DEF 14A,"Gyre Therapeutics, GNI-controlled. Current O/S 89,858,431 = 10-Q 87,636,209 (Mar 31) + 424B5 offering 2,222,222 (May 23); proxy's 93.6M appears stale/erroneous. Excl GNI Group parent 72,773,219 actual common (77.9%, 13D; their 73.3M beneficial incl 540k pfd-conversion), D&O group ex-options 2,835,260 (group's 10.07M is mostly options), and GNI-affiliated ex-CEO Ying Luo 2,840,376 actual shares. Float ~11.4M (14.2M if Luo kept). DT 17.5M/97M is 6/2026 w/ later dilution."
HCAI,2025-05-07,1.725,31.725,true,high,424B4 2025-02-06 IPO + 6-K 2025-03-11 over-allotment,Fresh China IPO (Huachen AI); float = public offering 1.5M + fully-exercised 225K over-allotment = 1.725M ordinary; total O/S 31.725M (30M pre-IPO founder SPVs excluded as controlled company); ordinary shares trade directly (no ADS); DT os=1.16M is a data error.
HCWB,2025-05-13,0.67,1.12,true,high,DEF14A 2025-04-28 table (post 1-for-40 reverse split),"Single-class common; O/S 1,123,371 as of 4/22/25 (post 1-for-40 reverse split effected 4/11/25); excluded D&O group ex-options 451,724 (incl founder/CEO Hing Wong 401,357); no institutional 5% holders; S-1 offering effective 5/15 is after as_of; DT os=9.58M is later dilution."
HNRG,2025-05-13,32.78,42.98,false,high,10-Q cover / DEF 14A,"Hallador Energy, NORMAL single-class. Current O/S 42,976,180 (10-Q 2025-05-12 & DEF 14A agree, no splits). Excl D&O group 10,200,353 (23.73%, ~all actual shares, no RSU/option inflation) - includes director-held control blocks: Lubar & Co funds 5,452,019 (12.69%, dir David Lubar, 13D), Hardie/HAAF PE 2,175,900 (5.06%, director), CEO Bilsland 1,555,285. Only >5% holder (Lubar) is in the D&O group. DT 39.06M/47.13M is 6/2026 w/ later dilution."
HOLO,2025-05-27,81.16,81.99,false,med,424B5 2025-04-23 acc 0001829126-25-002849,"Current O/S 81,992,848 total ordinary (post 40:1 consolidation effected 2025-04-21); non-affiliate float 81,162,643 per same prospectus; excluded ~0.83M affiliate (Tiger Initiative + Lucky Monkey control entities incl 16M-pre/0.4M-post Class B + D&O); HOLO trades Class A ordinary directly (NOT ADS); DT 22.51M reflects later 2025/26 consolidations, ignored point-in-time."
HSCS,2025-05-19,1.03,1.08,true,high,"normal: 10-Q cover (Mar 12 2025) 1,080,946 common O/S; post 1:100 reverse split (May 2024). Exclude D&O group 16,762 + FRV control lender 30,899","Nano-cap; DEF14A 2024-09-18 holder blocks tiny (<65K each, all <20% of O/S); DT 3.48M is a 2026 post-dilution snapshot."
HSDT,2025-05-02,0.525,0.528,true,high,DEF14A 2025-05-02 acc 0001104659-25-044128 + 10-Q acc 0001558370-25-006120,"Current O/S 528,061 post 1-for-15 reverse split effective 2025-05-02 (=10-Q 7,920,928 pre-split April 28 /15); excluded D&O group actual shares 2,724 (group beneficial 114,656 is mostly options); no external non-passive >5% holder; PIPE 1.32M pre-split already in count; DT 78.55M ignores split, grossly off."
MDCX,2025-05-14,9.10,13.49,true,med,10-Q 2025-05-12 cover (May 8 O/S) + 10-K/A Part III ownership,"Medicus Pharma (recent listing, common shares); O/S=13.49M as of May 8 2025 per 10-Q cover; excluded D&O group ex-options 1.067M (1,825,097 group minus 758,000 options/warrants) + Dr. Kenneth Melani/Velocity Fund 3.324M (24.8%, >20% non-passive); KEPT (judgment) Raju/215 Capital 2.0M (14.9%) and Hathaway/SkinJect 0.80M (6.0%) as sub-20% non-board holders; float 9.10M (alt 6.30M if those pre-IPO blocks excluded); both <20M. DT 48M is post-dilution 2026 snapshot."
MLGO,2025-05-07,22.35,24.20,false,med,20-F 2025-04-28 Item 6.E ownership (as of Apr 25 2025),"MicroAlgo, Class A Ordinary is traded class (NOT ADS - 20-F states no ADS); current O/S Class A=24.198M as of Apr 25 2025 (up from 13.1M at Dec31 2024 via Q1-2025 issuance); excluded WiMi/Jie Zhao parent control 1.851M Class A (also holds 100% of 44.878M Class B non-traded control class); float 22.35M (just over 20M). DT os 12.44M/float 3.44M reflects a LATER reverse split + looser methodology - point-in-time differs; flagged."
MNRO,2025-05-28,29.6,29.97,false,high,10-K cover / DEF 14A,"O/S 29,969,077 (10-K cover May 28); proxy (Jun 1 2024) D&O 369,577 real shares (ex-options); all 5% holders passive 13G (BlackRock 5.3M Vanguard 3.6M TRowe 2.5M Pacer 1.6M - KEEP); float ~29.60M"
MRNO,2025-05-05,1.41,79.24,true,high,20-F/A 2024-12-31 Item7,"O/S 79.24M ordinary (20-F/A, latest disclosed <=as_of; trades ordinary directly NOT ADS, ratio flag false-positive); excluded D&O group 77.84M = Elias Sacal Cababie founder/CEO 69.1M + HCM Holdings/Matthews director 8.74M; no passive insts; float well under 20M (DT 3.88/81.72)."
MSW,2025-05-12,2.23,12.98,true,high,424B4 / 13D/A,"O/S 12,975,000 (overallotment exercised per 13D/A Feb 2025); Chi Ming Lam 10,750,000 (CEO/founder excl per 13D/A); float=12,975,000-10,750,000=2,225,000=2.23M"
MSW,2025-05-13,2.23,12.98,true,high,424B4 / 13D/A,"carried from 2025-05-12; no intervening O/S change (current O/S still 12,975,000 per 13D/A Feb 2025; no new 6-K issuance between May 12-13)"
MTEN,2025-05-06,2.74,6.84,true,high,20-F 2025-04-30 Item7,"O/S 6.8396M ordinary (20-F as of 2025-04-15; the 5B is AUTHORIZED not O/S, rescale flag false-positive; trades ordinary directly NOT ADS); excluded founder D&O group 4.10M = Yingkai Xu+spouse Ding via BVI shells YK Xu Holding 2.091M + DJZ Holding 2.009M; no passive insts; float ~2.74M <20M; DT 16.36/20.26 is post-May-2025 dilution, point-in-time O/S much smaller."
MTEN,2025-05-07,2.74,6.84,true,high,20-F 2025-04-30 Item7,"O/S 6.8396M ordinary (20-F as of 2025-04-15; the 5B is AUTHORIZED not O/S, rescale flag false-positive; trades ordinary directly NOT ADS); excluded founder D&O group 4.10M = Yingkai Xu+spouse Ding via BVI shells YK Xu Holding 2.091M + DJZ Holding 2.009M; no passive insts; float ~2.74M <20M; DT 16.36/20.26 is post-May-2025 dilution, point-in-time O/S much smaller."
ACOG,2025-05-19,13.8,16.02,true,high,DEF 14A cover / 10-Q,"carried from 2025-05-16; no intervening O/S change (current O/S still 16,019,787 per 10-Q 2025-05-15)"
ACOG,2025-05-29,13.8,16.02,true,high,DEF 14A cover / 10-Q,"carried from 2025-05-16; no intervening O/S change (current O/S still 16,019,787 per 10-Q 2025-05-15; no new 8-K issuance between May 16-29)"
GPUS,2025-05-08,1.70,1.71,true,high,DEF14A 2025-05-02 record-date Class A O/S,GPUS=Class A common; current Class A O/S 1.706M (DEF14A record date ~4/28/25); Ault 95.68% is VOTING power via Class B/preferred/warrants NOT Class A; insiders hold only ~8.75K actual Class A; DT os=485M is post-2025 dilution (lookahead).
GPUS,2025-05-21,2.22,2.23,true,high,10-Q 2025-05-20 cover (as of 5/19/25),"GPUS=Class A common; current Class A O/S 2.228M (10-Q cover as of 5/19/25, grew via ATM from 1.43M at 3/31); Ault control is via Class B/preferred voting NOT Class A; insiders ~8.75K actual Class A; DT os=485M is later dilution (lookahead)."
HCAI,2025-05-09,3.74,33.735,true,med,424B4 IPO + AGM 6-K proxy (current O/S),"carried from 2025-05-07; no intervening O/S change (no new 6-K or offering between May 7-9; current O/S still 33,735,000)"
HCAI,2025-05-13,3.74,33.735,true,med,424B4 IPO + AGM 6-K proxy (current O/S),"carried from 2025-05-07; no intervening O/S change (no new 6-K or offering between May 7-13; current O/S still 33,735,000)"
MTAL,2025-05-27,80.32,82.46,false,high,20-F 2025-03-28 Item7,"O/S 82.46M ordinary (20-F, as of 2025-02-28; Jersey co on NYSE trades ordinary directly NOT ADS); excluded only D&O group 2.14M; Glencore 12.1% strategic but <20% so kept, United Super/Fourth Sail/BlackRock passive kept; float ~80M >20M; Harmony merger 6-K 2025-05-27 is future event, O/S unchanged."
ADUR,2025-05-19,17.1,28.17,true,medium,424B4 / 13D / 6-K,"Carried from 2025-05-08; no intervening O/S change (only 6-K press releases between 05-08 and 05-19, no share issuance)."
AEVA,2025-05-15,26.9,58.5,false,medium,DEF 14A + 8-K 05-14 issuance,"O/S grew: 54,992,711 + 3,509,719 (8-K May-13 PIPE) = 58,502,430. Excl D&O group 15,376,210 + Sylebra 13D 16,228,553 (>20% non-passive). New PIPE investor kept in float."
ARQQ,2025-05-19,6.53,12.75,true,med,20-F 2024-12-05 (Item 7) + 13D/A 2025-02-10 O/S,"Ordinary O/S 12.75M (13D/A Jan-27-2025; trades ORDINARY directly NOT ADS - false ADS flag; post 1-for-25 reverse split); excl D&O group 6.22M incl director Manfredi/Heritage 5.79M (40% control); founders Williams/Bestwick fell <5% (kept, dispersed). Float ~6.5M under 20M. (same filings as 5/16)"
ASPI,2025-05-21,57.4,72.07,false,high,10-Q cover 2025-05-20 / DEF 14A,"Carried from 2025-05-19; O/S confirmed 72,068,059 per 10-Q 2025-05-20 (unchanged from prior 72.07M); S-3 filed 04-30 is shelf authorization only, no new shares issued."
BIYA,2025-05-14,2.50,12.50,true,high,424B4 2025-03-24 IPO,"Fresh China (Cayman) IPO closed 2025-03-24: 2,500,000 ordinary offered at $4.00; post-IPO O/S 12,500,000; float=public offering 2.5M; pre-IPO 10M held by founder Daoning Xia (58.7%) + officers + BVI 'International Group Ltd' SPV ladder, all excluded; DT os 15.11M is post-as_of dilution."
BSGM,2025-05-27,20.9,24.2525,false,medium,10-Q 2025-05-19 cover O/S; DEF 14A ownership,"Carried from 2025-05-23; O/S confirmed 24,248,315 per 10-Q. May-27 8-K is Streamex acquisition agreement requiring stockholder approval - no shares issued yet between 05-23 and 05-27."
ELPW,2025-05-13,14.50,44.28,true,med,20-F 2024-11-27 Class A,"Class A traded; ClassA O/S 44.28M (of 50.06M all-class, Nov21-2024); excluded 5 pre-de-SPAC PRC lock-up affiliates (Zibo Yingke 8.03, Shenzhen Jinpenglong 6.70, Xingzheng 6.62, Xiamen Jiupaiyuanjiang 4.72, Pingtan Yingke 3.71 = 29.78M); founder Liu 5.78M is ClassB (unlisted); DT 6.04M is post-reverse-split 2026 (not yet at as_of)"
ELPW,2025-05-16,14.50,44.28,true,med,20-F 2024-11-27 Class A,"Class A traded; ClassA O/S 44.28M (of 50.06M all-class, Nov21-2024); excluded 5 pre-de-SPAC PRC lock-up affiliates (Zibo Yingke 8.03, Shenzhen Jinpenglong 6.70, Xingzheng 6.62, Xiamen Jiupaiyuanjiang 4.72, Pingtan Yingke 3.71 = 29.78M); founder Liu 5.78M is ClassB (unlisted); DT 6.04M is post-reverse-split 2026 (not yet at as_of)"
