ticker,as_of,float_M,os_M,confidence,basis,computed_at,note
STRM,2025-05-29,2.93,4.26,med,"normal+reverse-split: 10-K O/S 4,264,482 (post 1-for-15 split eff Oct 4 2024). DEF14A (Aug 2024) holders pre-split, /15. Exclude D&O group 20,080,398/15=1.339M (incl Tamarack/Ferayorni 13D + Harbert/Lucas, both with board seats).",2026-06-24T18:27:23,Tamarack & Harbert are activist funds with directors on board -> excluded as control; DT float 3.37M assumes lighter exclusion; threshold <20M either way.
SYTA,2025-05-20,5.10,5.10,high,F-1 2025-05-20 + 20-F 2025-04-21,2026-06-24T18:27:23,"Siyata Mobile (Canada), trades Common Shares directly (ADS flag false positive); current O/S 5,097,185 as of May 19 2025 per F-1 cover (post serial reverse splits 1:100, 1:7, 1:7, 1:18, 1:7); D&O group only 22 shares, NO 5% holders, no controlling shareholder; float = essentially full O/S 5.10M; pending F-1 offering not yet closed."
SYTA,2025-05-22,5.09,5.10,high,"normal: F-1 (filed 2025-05-20) states 5,097,185 Common Shares O/S as of May 19 2025, post serial reverse splits (1:100, 1:7, 1:18 +others). Trades Common Shares directly on Nasdaq (ADS flag FALSE POSITIVE). D&O ~0.8% pre-splits, now negligible; no 5% holder.",2026-06-24T18:27:23,"Essentially 100% float, fully retail nano-cap; F-1 offering not yet closed (excluded); not in DT 2026 snapshot."
TMC,2025-05-19,272.83,362.19,high,"normal: O/S 362,186,002 common (10-Q cover 5/13/2025); float = O/S - D&O group actual-common ex-options 89.36M (incl director Karkar's ERAS Capital 60.95M)",2026-06-24T18:27:23,"Allseas 14.6% strategic partner KEPT (under 20%, no board seat); First Manhattan 6.5% board-observer only KEPT; matches DT 273.11M"
TSSI,2025-05-15,20.56,25.02,high,"normal: O/S 25,020,498 (10-Q cover 5/13/2025 = proxy 4/28); float = O/S - D&O group 4,805,002 less 341,667 options = 4.46M excluded",2026-06-24T18:27:23,"Glen Ikeda 5.93% non-insider KEPT (<20%, no board seat); Woodward/MHW block is within D&O group (no double-count)"
TSSI,2025-05-16,20.56,25.02,high,"normal: O/S 25,020,498 (10-Q cover 5/13/2025 = proxy 4/28); float = O/S - D&O group 4,805,002 less 341,667 options = 4.46M excluded",2026-06-24T18:27:23,"Glen Ikeda 5.93% non-insider KEPT (<20%, no board seat); Woodward/MHW block is within D&O group (no double-count)"
TZUP,2025-05-07,4.62,9.48,med,"normal: O/S 9,479,709 (PRE 14A 4/15/2025, latest <= as_of); float = O/S - D&O actual-common 3.46M (ex-options, ex-blocked-preferred) - Lupinelli 1.40M non-voting locked-up insider",2026-06-24T18:27:23,"Excl Lupinelli (14.8%, non-vote agreement + founder lockup, pre-IPO 10%+); KEPT Joe Thomas 7.7% & Andrew Haag 9.9% (5% holders, no board seat, <20%)"
TZUP,2025-05-13,4.64,9.50,med,"normal: O/S 9,504,314 (DEF 14C 5/12/2025, as of 4/28 record date); float = O/S - D&O actual-common 3.46M (ex-options, ex-blocked-preferred) - Lupinelli 1.40M non-voting locked-up insider",2026-06-24T18:27:23,"Excl Lupinelli (14.7%, non-vote agreement + founder lockup, pre-IPO 10%+); KEPT Joe Thomas 7.7% & Andrew Haag 9.9% (5% holders, no board seat, <20%)"
UBXG,2025-05-14,13.05,20.78,med,6-K 2025-04-18 (O/S) + 13D/A 2025-03-21 (founder) + 424B2 2025-03-26 (1:16 split),2026-06-24T18:27:23,"U-BX (China), trades ordinary directly (ADS flag false positive); 1-for-16 reverse split eff Nov 27 2024 already in current count; current O/S 20,784,142 per 6-K Apr 18 2025; excluded founder/CEO Jian Chen control block 7.592M (Superego Pulse BVI + Columbus LP + direct, per 13D/A) + COO Liu (EvolutionUp BVI) 0.067M + CFO Li (Infinite Fission BVI) 0.071M; DT os 1.818M reflects a LATER additional reverse split (point-in-time O/S is 20.78M)."
UEIC,2025-05-05,9.74,13.15,high,"normal: O/S 13,145,083 (DEF 14A 4/14/2025, as of 4/1); float = O/S - D&O group ex-options/RSUs 0.73M - Toro18/Immersion/Singer activist 1.54M (director, cooperation agmt) - Kent Lake activist 1.13M (13D/A 5/5, board nominee)",2026-06-24T18:27:23,"KEPT passive 13G: Ameriprise 5.97%, Leviticus 5.68%; matches DT 9.7M"
VATE,2025-05-27,4.77,13.28,med,"normal: O/S 13,283,218 common (10-Q cover 5/2/2025, post 1:10 reverse split = proxy 4/21); float = O/S - D&O group 7.47M (incl Glazer/Lancer 6.81M control 51%) - Percy Rockdale 1.04M (Gorzynski/Continental 13D control affiliate, 100% of both preferred series)",2026-06-24T18:27:23,KEPT Whitefort 7.6% hedge fund (no board seat); alt 5.82M if Percy kept; DT 5.23M
VMAR,2025-05-07,10.34,10.40,med,6-K mgmt circular 2025-04-04 (record date 2025-03-27) + 20-F 2024-12-20,2026-06-24T18:27:23,"Current O/S 10,400,665 common per AGM circular record date 2025-03-27 (post Feb-2025 offerings, pre a later reverse split that DT's 1.56M reflects); VMAR trades common shares directly (ADS flag false positive, no division); excluded D&O group ~62K (2.2% in Dec-24 20-F), kept KPAC Holdings 180K (6.3% passive); no control person."
VMAR,2025-05-27,1.034,1.040,medium,carried from 2025-05-07; May20 6-K settlement 250K shares pending court approval under 3(a)(10) - NOT YET ISSUED as of May27; no other O/S changes,2026-06-24T18:27:23,O/S unchanged at 1040067; settlement shares require court approval (deadline Sep15-2025); float unchanged=1034322
XAGE,2025-05-22,0.84,1.00,med,10-Q/424B3 (O/S as of 2025-05-12) + DEF14A 2025-02-10 (scaled 1-for-30),2026-06-24T18:27:23,"Current O/S 1,003,995 common per 10-Q cover as of 2025-05-12 (post 1-for-30 reverse split eff 2025-05-12; 268,840-share May-19 424B3 already in count); excluded D&O group ex-options 4,858,705 pre-split / 30 = 161,957 (incl Chairman Shukla 12% and dir Upton/Harbor Light 5%); 5% holders None; DT 2.48M reflects later 20/20 Biolabs merger dilution."
AMZE,2025-06-18,0.7,5.28,med,8-K 2025-06-18 press release O/S,2026-06-24T18:27:23,"Current O/S 5,277,810 as of 6/16/25 per 8-K 6/18 (after Series D->93.75M conversion + 1-for-23 reverse split eff 6/12). Amaze Software securityholder group controls ~83.5% (control affiliates incl CEO Aaron Day); legacy public ~16.5% (~0.87M) minus legacy D&O. Float well under 20M."
ANNA,2025-06-25,3.53,40.66,high,10-Q 2025-05-15 Class A cover + DEF 14A 2025-04-29,2026-06-24T18:27:23,"Listed class = Class A; O/S 40.58M (10-Q 5/15). Excl Wilder-family control: Nautilus direct Class A ~4.48M (its 30.48M BO incl 25.99M exchangeable Class C, not yet outstanding Class A) + John&Susan Wilder Foundation 6.66M. D&O group hold 0 direct. Class C non-economic voting (not listed). Float >20M.  || QC 2026-06-26: Wilder control (SC 13D) excl = LISTED Class A 37.13M (Nautilus 30,478,724 = 75.05% of Class A + Foundation 6,655,470); 10-Q cover 40,659,881 Class A. Prior label wrongly treated listed Class A as exchangeable Class C (25.99M Class C/HoldCo units are additive, not in the Class A O/S). Float = 40.66 - 37.13 = 3.53."
ATYR,2025-06-03,87.6,89.0,high,10-Q 2025-05-07 cover + DEF 14A 2025-03-19,2026-06-24T18:27:23,"Current O/S 89.0M (10-Q cover, 89,004,436). No reverse split effected (proxy 1-for-14 was a discretionary authorization proposal only). Excl D&O group directly-owned 1.40M (ex-options/acquirable). Kept all 5% holders passive 13G (Federated 16.5%, FMR 9.9%, Point72 5.7%); common shares traded. Float >>20M."
BAOS,2025-06-04,1.03,1.53,high,"20-F 2025-04-29 Item 6.E (ordinary shares, NOT ADS)",2026-06-24T18:27:23,"O/S 1,534,487 ordinary as of 4/28/25 (20-F; 6-K 5/13 only CFO change). ADS flag is FALSE POSITIVE - zero 'ADS' mentions in 20-F, trades ordinary directly. Excl An Rui Tai BVI 343,750 (22.40%, control, incl dir Sheng Gong's 34,375) + PBCY Investment 156,250 (Pubang Landscape strategic parent). Kept Deng Guan BVI 96,857 (6.3% individual). Float ~1.0M, well under 20M."
BBGI,2025-06-20,0.68,0.96,high,10-Q 2025-05-08 Class A cover + DEF 14A 2025-04-29,2026-06-24T18:27:23,"Listed class Class A; O/S 957,876 (10-Q, ex-treasury). Class B 833,137 = Beasley family super-voting (10x, not listed). Excl D&O group Class A 264,153 (incl Beasley-affiliated entities 112,855) + Bradley Beasley 7,935 + Robert Beasley 826. Kept GAMCO/Gabelli 80,416 (passive 13D/G 8.4%) + Lappert 47,934 (5%). Float ~0.68M, well under 20M."
BBLG,2025-06-27,0.54,0.55,high,10-Q 2025-05-12 cover + 8-K 2025-06-06 (1-for-6 reverse split) + DEF 14A,2026-06-24T18:27:23,"Pre-split O/S 3,271,042 (10-Q cover, as of May 1). 1-for-6 reverse split effective ~6/06/25 (8-K 6/06) => post-split O/S ~545,174 (frac rounded up). Proxy table pre-split: D&O group directly-owned ex-options only 4,026 (footnote 9: 4,026 sh + 209,240 options) = ~671 post-split. No non-D&O 5% holders. S-1 6/24 offering not yet closed by as_of. Float ~0.54M, well under 20M."
BDMD,2025-06-13,13.7,37.02,med,"20-F 2025-05-15 Item 6.E (ordinary shares, NOT ADS)",2026-06-24T18:27:23,"De-SPAC (ExcelFin). O/S basis 37,015,899 ordinary (BO table, May 13, incl earnout + GFC conversion; cover 35,728,625+290,000 GFC). ADS flag FALSE POSITIVE (zero ADS mentions, trades ordinary directly). Excl D&O group 18,519,026 (Haimei Wu/Auto King/Betters Medical control 50%) + ExcelFin SPAC sponsor 4,773,406. Kept Grand Fortune 2,754,985 (7.4% minority strategic). Float ~13.7M, under 20M."
BDMD,2025-06-17,13.7,37.02,med,"20-F 2025-05-15 Item 6.E (ordinary, NOT ADS)",2026-06-24T18:27:23,"carried from 2025-06-13; no intervening O/S change (no BDMD filings between 6/13 and 6/17; latest periodic still 20-F 5/15). De-SPAC; excl Wu/Auto King/Betters control 18.52M + ExcelFin sponsor 4.77M; kept Grand Fortune 7.4%. Float ~13.7M, under 20M."
BDMD,2025-06-25,13.7,37.02,med,"20-F 2025-05-15 Item 6.E (ordinary, NOT ADS)",2026-06-24T18:27:23,"carried from 2025-06-13; no intervening O/S change (no BDMD filings between 6/13 and 6/25; latest periodic still 20-F 5/15). De-SPAC; excl Wu/Auto King/Betters control 18.52M + ExcelFin sponsor 4.77M; kept Grand Fortune 7.4%. Float ~13.7M, under 20M."
BGM,2025-06-10,52.7,183.9,med,"6-K 2025-05-20 (Wonder Dragon close, O/S anchor) + 20-F/A 2025-05-08 ownership",2026-06-24T18:27:23,"Class A is listed class (NOT ADS - zero ADS mentions). Total O/S ~183.9M as of 5/16 (Wonder Dragon seller 38.17M Class A = 20.75% of total); Class B 20M founder super-voting; Class A ~163.9M. Serial share-funded acquisitions; Xingdao 37.1M deal closes end-June (after as_of, excluded). Excl CISG Holdings 69.99M (AIX Inc strategic parent, ~43% of Class A) + D&O group Class A 3.03M (Chairman Xin/Ahanzhai) + Wonder Dragon seller 38.17M (locked 60mo, 20.75%). Float ~52.7M, over 20M. DT 384M reflects heavy post-date dilution."
BIRD,2025-06-10,5.29,5.46,high,10-Q 2025-05-09 cover + DEF14A 2025-04-24,2026-06-24T18:27:23,"Listed Class A O/S 5.46M (10-Q 5/9); excl D&O Class A 0.17M (group, ex-options); Maveron holds only Class B (0 Class A); kept Fidelity/FMR 0.73M Class A passive 13G. Class B (2.54M, founder/Maveron-controlled) not listed/traded. Under 20M."
BIYA,2025-06-04,2.50,12.52,high,20-F 2025-05-13 (O/S as of 4/1/25) + 424B4 2025-03-24 IPO,2026-06-24T18:27:23,Carried from 2025-05-14; only 13Gs (passive) filed since. Fresh China IPO; 20-F confirms O/S 12.52M (4/1/25). Float = IPO offering 2.5M; excl 11 pre-IPO BVI affiliate SPVs (~7.89M) + D&O group (Huiwan/Zhang dedup). Under 20M.
BMBL,2025-06-25,71.73,103.29,high,10-Q 2025-05-12 cover + DEF14A 2025-04-17,2026-06-24T18:27:23,"Re-derived: Class A O/S 103.29M (10-Q cover, post-buyback; supersedes stale 10-K 105.55M). Excl Stockholders-Agreement control group 31.04M Class A (Blackstone 30.12M + founder Wolfe Herd) + other D&O 0.52M Class A. Common Units (22.2M) separate convertible class, not in Class A float. Kept Vanguard 10.2M/BlackRock 9.9M/Ameriprise 6.4M passive 13G. Float >>20M."
BMNR,2025-06-30,2.85,6.16,high,"424B4 2025-06-06 (post 1:20 split, post-offering O/S) + 8-K 2025-06-10/06-30",2026-06-24T18:27:23,"Current O/S 6.16M (424B4 'after offering', 1-for-20 reverse split 5/15 applied, IPO closed 6/6). Excl D&O group 2.96M (48%, incl founder/CEO Bates via IDI/BFAM) + ex-officer Sam Jorgensen 0.35M. Series A/B pref converted into the 6.16M. $250M PIPE (55.56M sh) priced 6/30 but closes ~July 3 -> EXCLUDED (post as_of, no lookahead). DT 6/4/26 snapshot far larger due to PIPE+ATM dilution; expected. Under 20M."
BODI,2025-06-10,3.10,4.28,med,10-Q 2025-05-15 cover + DEF14A 2025-04-23,2026-06-24T18:27:23,"Listed Class A O/S 4.276M (10-Q cover 5/7/25; Class X 2.73M is founder Daikeler super-voting, non-traded). Excl D&O real Class A ~0.33M (Daikeler's stake is Class X-converted, ~0 real Class A) + co-founder Jon Congdon 0.24M + Raine sponsor-affiliate 0.68M (15.8%, non-passive, judgment call). 424B3s are resale registrations, no new O/S. Under 20M."
BRLS,2025-06-06,5.28,21.38,high,10-Q 2025-05-20 cover + 10-K/A 2025-04-30 Item 12,2026-06-24T18:27:23,"Borealis Foods; trades Common Shares directly (NOT ADS - false tag). Current O/S 21.38M (10-Q cover 5/20/25). Excl D&O group 10.80M (49.87%, incl director Ibragimov/Belphar+GSS) + Oxus Capital 5.30M (25%, ex-SPAC sponsor, Rakishev-controlled, external to group). Belphar already inside D&O group (no double-count). Under 20M."
BRLS,2025-06-11,5.28,21.38,high,10-Q 2025-05-20 cover + 10-K/A 2025-04-30 Item 12,2026-06-24T18:27:23,Carried from 2025-06-06; no intervening O/S change (only pre-6/6 Form 4s). O/S 21.38M Common Shares; excl D&O group 10.80M + Oxus 5.30M. Under 20M.
BTM,2025-06-09,22.74,23.12,med,10-Q 2025-05-15 cover + DEF14A 2024-11-06,2026-06-24T18:27:23,"Bitcoin Depot Up-C; traded Class A O/S 23.12M (10-Q cover 5/13/25, grew via ATM). Class V 41.19M (founder Mintz/BT Assets, non-economic super-voting) NOT in float. Excl D&O group Class A 0.38M only. Paul/Sopris 3.06M (17%, secondary PE fund, sub-20%, no 13D/board seat) KEPT per >20% rule. Other 5% holders (Meteora/LMR/Polar/Shaolin) file 13G passive, KEPT. BORDERLINE: if Sopris excluded as affiliate, float ~19.7M (<20M). Float ~22.7M >20M."
CDT,2025-06-02,0.77,0.80,med,8-K 2025-05-16 (1-for-15 split eff 5/19) + 10-Q 2025-05-14 cover + DEF14A 2025-04-25,2026-06-24T18:27:23,"Conduit Pharma; SERIAL reverse splits (1-for-100 Jan 2025, then 1-for-15 eff 5/19/25). Pre-split O/S 11.96M (10-Q cover 5/14) / 15 = ~0.80M post-split current O/S. Excl D&O group 0.46M/15=0.03M. Sarborg 16.35% & AGP 9.63% sub-20% non-control KEPT per >20% rule. Tiny micro-cap, far under 20M. DT 6/4/26 os 4.86M reflects later ATM dilution."
CERO,2025-06-17,0.39,0.40,low,8-K 2025-06-13 (1-for-20 split eff 6/13) + 10-Q 2025-05-15 cover,2026-06-24T18:27:23,"CERo Therapeutics; serial reverse splits (1-for-100 earlier, then 1-for-20 eff 6/13/25; cumulative >250:1). Pre-split O/S 7,722,072 (10-Q cover 5/14) /20 = ~0.40M post-split current O/S. Heavy May/June PIPE dilution adds uncertainty (June issuance not fully pinned). Excl D&O real common ~0.01M (Atwood 9.99% mostly pre-funded warrants, capped). Tiny float ~0.39M, clearly under 20M. DT 6/4/26 45M reflects a year of serial dilution; not comparable. CONF low: exact June O/S fuzzy."
CHEB,2025-06-16,8.63,11.81,high,SPAC redeemable public shares (10-Q 2025-05-15),2026-06-24T18:27:23,"SPAC pre-deSPAC (Polibeli F-4 pending, no closing 8-K <=as_of). O/S 11.81M (8.935M Cl A incl 8.625M redeemable + 2.875M Cl B founder). Float=8.625M public redeemable; excl sponsor Cl B 2.875M + 310k PP Cl A. Under 20M."
CIGL,2025-06-27,1.44,1.44,med,20-F 2025-05-15 listed Class A only,2026-06-24T18:27:23,"Dual-class Singapore IPO (Apr-2025). Listed=Class A 1,437,500; super-voting Class B 20,888,886 held by founder Chua group (not listed). D&O own 0 Class A -> all 1.44M Class A public float. 6-K 6/27 was investor deck (no new shares). Not ADS (trades Class A ordinary directly). Under 20M."
CISS,2025-06-13,0.64,0.78,med,"20-F 2025-04-28 (O/S 780,768 @ Apr-15-2025); no filing 5/16-6/20",2026-06-24T18:27:23,"C3is Inc (Greek shipping, Vafias). Common O/S 780,768. Excl D&O group 95,594 (Vafias 95,578 incl restricted ex-options + Pyndiah) + Pandora Consultants 42,947 (chairman family control affiliate). Imperial Petroleum holds Series A PREFERRED only (4.93M is as-converted vote count, ~0 common) -> not subtracted from common. Serial reverse splits; DT 0.53M is 2026 snapshot post later split. Under 20M."
CISS,2025-06-20,0.64,0.78,med,"20-F 2025-04-28 (O/S 780,768 @ Apr-15-2025); carried, no filing 5/16-6/20",2026-06-24T18:27:23,"Same as 6/13: no new O/S-relevant filing between 5/16 and 6/20. Common O/S 780,768; excl D&O 95,594 + Pandora 42,947; Imperial holds Series A preferred only. Float 0.64M. Under 20M."
CLBR,2025-06-02,17.0,21.25,high,SPAC redeemable public Class A (10-K/10-Q),2026-06-24T18:27:23,"Colombier Acquisition II SPAC, pre-deSPAC (merger 425s pending, no closing 8-K <=as_of). O/S 21.25M = 17M Class A (all redeemable public) + 4.25M Class B (Colombier Sponsor II/Malik founder). Float=17M public redeemable Class A; excl sponsor Class B 4.25M; 5% holders Decagon/AQR are passive funds within float (kept). Under 20M."
CTNM,2025-06-20,18.94,19.14,med,10-Q 2025-05-14 Class A (listed) + DEF14A 2025-04-29,2026-06-24T18:27:23,"Contineum Therapeutics dual-class. Listed Class A O/S 19,142,377 (10-Q 5/14; no Class A offering 5/14-6/20, S-3 is shelf only). Excl D&O group ex-options 199,044 (2,156,583 BO - 1,957,539 options). Kept passive 13G holders JJDC/J&J 10.3%, Suvretta 9.0%, Franklin 7.6%, Perceptive 7.5% (all <20%). Non-listed Class B 6.73M excluded (listed-class rule). DT 35.21M/37.39M = both-class + 2026 dilution (DT-divergent). Float ~18.94M, near 20M boundary."
CUPR,2025-06-04,7.37,7.37,med,"20-F 2025-05-14 cover, Class A (listed) only",2026-06-24T18:27:23,"Cuprina Holdings dual-class Singapore IPO (Apr-2025). Listed Class A O/S 7,365,000 (20-F cover @ May-14; 6-K 6/04 was business PR, no new shares). Insiders hold ONLY Class B 14,085,000 (Cuprina Holding founder vehicle, D&O via it) -> 0 insider Class A; no >5% Class A holder -> all 7.37M Class A public float. NOT ADS (trades Class A ordinary direct, Item 12D=N/A). Supersedes prior 5/02 IPO-offering record. DT 0.92M/2.68M looks wrong (DT-divergent). Under 20M."
CUPR,2025-06-09,7.37,7.37,med,"20-F 2025-05-14 cover, Class A (listed); no intervening filing 6/04-6/09",2026-06-24T18:27:23,"Same as 6/04: Class A O/S 7,365,000, all public (insiders hold Class B only). No O/S-relevant filing between 6/04 and 6/09. NOT ADS. DT-divergent (DT 0.92M/2.68M). Under 20M."
CVAC,2025-06-12,112.4,225.16,med,"20-F 2025-04-10 (O/S 225,155,874 @ Mar-15-2025); common shares trade direct (not ADS)",2026-06-24T18:27:23,"CureVac N.V. Common O/S 225.16M. Excl dievini/Hopp control block 82,532,244 (36.7%; Hothum's 70.18M is the SAME dievini block, deduped) + D&O personal ex-dievini 0.34M + KfW 29,871,441 (13.3%, German state bank w/ supervisory board seat -> control affiliate). Kept GSK 16.59M (7.4% strategic, no board seat) + public. Float ~112.4M >>20M. NOT ADS. BioNTech tender offer announced 6/12 (425/SC14D9C) but not closed. Under_20M=false."
DDC,2025-06-02,3.71,4.65,med,"6-K 2025-05-16 (post 1-for-25 reverse split O/S 4,645,749 Class A) + 20-F 2025-05-15 ownership; carried from 2025-05-29",2026-06-24T18:27:23,"DDC Enterprise. Carried from 5/29; no intervening O/S filing 5/29-6/02 (latest=6-K 5/16). Current Class A O/S 4,645,749 (post 1:25 reverse split, incl 1.47M obligated). Excl founder/CEO Norma Chu 23,309,275 pre-split /25 = 932,371 post-split (sole D&O holder). Float = 4.646M - 0.932M = 3.71M. Class B 875k not listed. NOT ADS. DT 34.35M/24.11M is pre-split or post-later-crypto-raise dilution (DT-divergent). Under 20M."
DGICB,2025-06-20,0.94,5.65,high,10-Q 2025-05-06 cover (Class B O/S) + DEF14A 2025-03-17,2026-06-24T18:27:23,"Class B (DGICB) O/S 5.65M (10-Q 5/6); excl Donegal Mutual control 4.709M Class B (84.4%) + D&O group 1,750 Class B; Dimensional/BlackRock hold Class A only. Float ~0.94M, under 20M."
DIST,2025-06-06,0.65,3.20,high,10-Q 2025-05-16 (Mar31) + DEFM14A 2025-04-02 (SPAC),2026-06-24T18:27:23,SPAC pre-de-SPAC: BC approved 5/30 but not yet closed. Total O/S 3.20M (2.548M non-redeemable founder/sponsor + 0.652M redeemable public). Float = public redeemable 0.652M. DIST trades ordinary directly (ADS flag false-positive). Under 20M.
DIST,2025-06-11,0.65,3.20,high,10-Q 2025-05-16 (Mar31) + DEFM14A 2025-04-02 (SPAC),2026-06-24T18:27:23,carried from 2025-06-06; no intervening O/S change (no filing after 6/5; BC not yet closed). Float = public redeemable 0.652M. Under 20M.
DIST,2025-06-12,0.65,3.20,high,10-Q 2025-05-16 (Mar31) + DEFM14A 2025-04-02 (SPAC),2026-06-24T18:27:23,carried from 2025-06-06; no intervening O/S change (no filing after 6/5; BC not yet closed). Float = public redeemable 0.652M. Under 20M.
EDRY,2025-06-26,1.24,2.83,high,6-K 2025-06-06 (O/S) + 20-F 2025-05-15 Item 7,2026-06-24T18:27:23,"EuroDry (Marshall Is, FPI). O/S 2.827M (6-K 6/6). Excl D&O+5% group 1.587M (56.2%, incl Pittas-family vehicles Friends Dry 0.869M/FUN 0.313M/Ergina 0.180M + CEO Pittas + all D&O). Float 1.24M. Under 20M. (DT float 1.41M close)"
EHLD,2025-06-23,1.12,2.82,high,"13D 2025-06-20 (O/S 2,816,615) + 20-F/A 2025-05-29 Item 7 + 6-K 2025-06-23",2026-06-24T18:27:23,Euroholdings (Marshall Is FPI). O/S 2.817M (per 13Ds 6/20). Control-transfer 6/23: Pittas-family Sellers sold majority to Marla Investments (new control affiliate). Excl control group 1.692M (58.6%); float = non-control public 1.12M. Under 20M.
EHLD,2025-06-26,1.12,2.82,high,"13D 2025-06-20 (O/S 2,816,615) + 20-F/A 2025-05-29 + 6-K 2025-06-26",2026-06-24T18:27:23,"carried from 2025-06-23; no intervening O/S change (6/26 6-K = Q1 earnings, confirms Pittas sold 51.04% to Marla/Latsis - share transfer not issuance). Excl control group ~58.6%; float = public 1.12M. Under 20M."
FBYD,2025-06-18,4.95,37.23,med,10-Q 2025-05-15 cover + POS AM 2025-06-17 (Class A O/S 6/16) + 10-K/A 2025-04-30 ownership,2026-06-24T18:27:23,"Falcon's Beyond, Class A (FBYD), de-SPAC dual-class. Class A O/S 37.23M (POS AM 6/16). Excl Demerau-control Class A: Infinite 25.03M(67.2%)+Katmandu 2.10M+Tillman's Corner Trust 2.53M+Judith Demerau 2.59M+D&O 0.035M = 32.28M. Float ~4.95M Class A. Under 20M."
FBYD,2025-06-25,4.95,37.23,med,"10-Q cover + 424B3 2025-06-25 (Class A O/S 37.23M, 6/16) + 10-K/A ownership",2026-06-24T18:27:23,"carried from 2025-06-18; no intervening O/S change (6/25 424B3 is resale of existing affiliate shares, no issuance; Class A O/S 37.23M unchanged). Excl Demerau-control 32.28M; float ~4.95M Class A. Under 20M."
FCEL,2025-06-06,22.72,22.79,high,"10-Q 2025-06-06 cover (as of June 2, 2025) + DEF14A 2025-02-21",2026-06-24T18:27:23,"FuelCell Energy. Re-derived (new 10-Q filed 6/6): O/S grew to 22.79M (June 2) via ATM (was 21.14M at 5/23). 1-for-30 reverse split already baked in. No control affiliate; excl D&O group 0.074M (<1%); KEEP BlackRock 5.52% + Legal&General 5.25% (passive 13G). Float ~22.72M, OVER 20M. DT 52.98M reflects post-date ATM dilution."
FLD,2025-06-17,12.2,46.38,med,10-Q cover 2025-05-15 + S-1 2025-04-01 ownership (post de-SPAC Fold Holdings),2026-06-24T18:27:23,"Current common O/S 46.38M (10-Q cover As-of-May-15-2025). De-SPAC Feb 2025; FTAC Emerald->Fold Holdings. Excl D&O group 9.66M (19%, incl dir Kirkwood funds Ten31+LowTimePref); Emerald sponsor+advisors 5.84M; Fulgur Frontier+Ventures 10.91M (23% strategic BTC-VC pre-merger); Thesis 4.13M; Craft Ventures 3.64M; total excl ~34.2M. Kept ATW (only 0.5M real common, rest blocker warrants). Float ~12.2M <20M; DT 6.12M corroborates small float. Med: VC control classification judgment, but <20M robust."
FMST,2025-06-02,9.56,10.34,med,424B3 2025-02-28 MD&A (O/S Feb12) + 20-F 2024-07-01 ownership,2026-06-24T18:27:23,"Carried from 2025-05-28; only intervening filing is 6-K 2025-06-02 (VP Exploration appointment, non-dilutive); no O/S change."
FMST,2025-06-04,9.56,10.34,med,424B3 2025-02-28 MD&A (O/S Feb12) + 20-F 2024-07-01 ownership,2026-06-24T18:27:23,Carried from 2025-05-28; intervening filings 6-K 2025-05-27 & 6-K 2025-06-02 both non-dilutive (appointments/news); no O/S change.
GCTK,2025-06-25,0.52,0.57,med,8-K 2025-06-16 (1:60 reverse split eff 6/13) + DEF14A 2025-04-28 ownership,2026-06-24T18:27:23,"Current O/S 567,456 = 34,047,337 pre-split / 60 (1:60 reverse split effective 6/13/2025, per 8-K 2025-06-16; 06-25 8-K is press release, no issuance). DEF14A D&O-group common 2,948,827 (ex options/warrants) /60 = 49,147 excl (incl dir Ballantyne Rev Trust 2,743,591). No passive >5% holders. Float ~0.52M <20M. DT 6.26M is +1yr post-date serial-offering dilution, not split error."
GHLD,2025-06-18,13.75,21.88,high,10-Q 2025-05-08 (Class A cover As-of-May-1) + DEF14A 2025-04-14 ownership,2026-06-24T18:27:23,"Dual-class; listed/traded class = Class A O/S 21,877,157 (Class B 40.33M is 100% MCMI/McCarthy super-voting, not listed). Excl D&O group Class A 8,122,164 (37.1%, incl founders McGarry 4.71M via LLC + Schmidt 2.64M; minor RSU inflation ~0.1M). Kept passive 13G Class A: Bayview 1.50M, Blocker 1.17M, Rish 1.11M, Scott 1.22M (<20%, no board seat). Float ~13.75M <20M. 8-K 6/18 = Bayview take-private merger agmt (no O/S change)."
GOCO,2025-06-23,5.53,11.12,med,10-Q 2025-05-16 (Class A cover As-of-May-6) + DEF14A 2025-04-28 ownership,2026-06-24T18:27:23,"Up-C dual-class; listed class = Class A O/S 11,115,125 (Class B 12.62M paired w/ LLC interests, not listed). Nov-2022 1-for-15 split is historical (already baked in). Excl Centerbridge Class A 4,179,850 (37.7%, PE sponsor 13D + board) + D&O group Class A 1,400,585 (incl CEO Kotte 1.00M, founders Cruz/Jones 80,136 ea). Float ~5.53M Class A <20M. DT 14.75M/29.3M divergent = +1yr Up-C Class B->A exchange dilution & combined-class counting; PIT Class A float stands."
HOLO,2025-06-03,81.16,81.99,med,424B5 2025-04-23 acc 0001829126-25-002849,2026-06-24T18:27:23,"Carried from 2025-05-28; only intervening filing is CORRESP 2025-05-30 (SEC correspondence, non-dilutive); no O/S change. Float >>20M."
